moviechrono_id;"movie,""chapter"",""character"",""dialog""";
139;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""No. It's not possible...""";
140;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Bloody hell. That's a Welsh Green.""";
141;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""It looks like it's been down here forever.""";
142;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""Go on.""";
143;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""It's been trained to expect pain when it hears the noise.""";
144;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""That's barbaric. I...""";
145;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""We'll only have a few seconds. In other words... they'll be no do-""";
146;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""Ready, Bogrod?""";
147;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Hm? Oh. Yes. Of course.""";
148;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""Lumos !""";
149;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Lumos !""";
150;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""Lumos !""";
151;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Blimey...""";
152;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""Look.""";
153;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""No wonder Bellatrix thought it was real.""";
154;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Ron Weasley"",""Is it here, Harry? Can you feel anything?""";
155;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Hermione Granger"",""It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.""";
156;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Hermione Granger"",""Ron, your foot!""";
157;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Griphook"",""We'll be crushed! Hurry!""";
158;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Harry Potter"",""That's it. Up there.""";
159;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Hermione Granger"",""How're we going to reach it?""";
160;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Harry Potter"",""Give me the sword! The real one.""";
161;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Ron Weasley"",""Keep going!""";
162;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Hermione Granger"",""Harry! Behind you!""";
163;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Ron Weasley"",""The cup!""";
164;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Hermione Granger"",""In here!""";
165;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Harry Potter"",""We have a deal, Griphook.""";
166;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Griphook"",""I said I'd get you in. I never said anything about getting you out.""";
167;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Harry Potter"",""Griphook! Griphook!""";
168;"Harry Potter and the Deathly Hallows Part 2,""Copping the Cup"",""Griphook"",""Thieves! Help! Thieves!""";
169;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""Foul little git. Least we've got Bogrod.""";
170;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""That's unfortunate.""";
171;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""We can't just stand here! Who's got an idea?""";
172;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""You're asking us? You're the brilliant one.""";
173;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""I've got something. But it's mad.""";
174;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""Relashio!""";
175;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""That's your idea?""";
176;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""Come on!""";
177;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Hermione Granger"",""It doesn't realize it's free!""";
178;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""That was brilliant! BRILLIANT!""";
179;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Ron Weasley"",""Bloody hell.""";
180;"Harry Potter and the Deathly Hallows Part 2,""Exit the Dragon"",""Harry Potter"",""We're dropping!""";
