chrono_id;movie;chapter;character;dialog
6876;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;That's barbaric. I...
6877;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;We'll only have a few seconds. In other words... they'll be no do-
6878;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;Ready, Bogrod?
6879;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Hm? Oh. Yes. Of course.
6880;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;Lumos !
6881;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Lumos !
6882;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;Lumos !
6883;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Blimey...
6884;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;Look.
6885;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;No wonder Bellatrix thought it was real.
6886;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Ron Weasley;Is it here, Harry? Can you feel anything?
6887;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Hermione Granger;It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.
6888;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Hermione Granger;Ron, your foot!
6889;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Griphook;We'll be crushed! Hurry!
6890;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Harry Potter;That's it. Up there.
6891;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Hermione Granger;How're we going to reach it?
6892;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Harry Potter;Give me the sword! The real one.
6893;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Ron Weasley;Keep going!
6894;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Hermione Granger;Harry! Behind you!
6895;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Ron Weasley;The cup!
6896;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Hermione Granger;In here!
6897;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Harry Potter;We have a deal, Griphook.
6898;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Griphook;I said I'd get you in. I never said anything about getting you out.
6899;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Harry Potter;Griphook! Griphook!
6900;Harry Potter and the Deathly Hallows Part 2;Copping the Cup;Griphook;Thieves! Help! Thieves!
6901;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;Foul little git. Least we've got Bogrod.
6902;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;That's unfortunate.
6903;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;We can't just stand here! Who's got an idea?
6904;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;You're asking us? You're the brilliant one.
6905;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;I've got something. But it's mad.
6906;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;Relashio!
6907;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;That's your idea?
6908;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;Come on!
6909;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;It doesn't realize it's free!
6910;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;That was brilliant! BRILLIANT!
6911;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;Bloody hell.
6912;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;We're dropping!
6913;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;I say we jump!
6914;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;When?
6915;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Voldemort;The boy has discovered our secret, Nagini. We must find out just how much he knows. We must return to our hiding places and see if the others are safe.
6916;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;He knows.
6917;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;How is it you --
6918;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;I saw him.
6919;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;You let him in! Harry, you can't --
6920;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;I can't always help it, Hermione!
6921;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;Never mind! What did you see?
6922;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.
6923;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;What happens when he finds out four are gone?
6924;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.
6925;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;What?
6926;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;What?
6927;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;You saw it?
6928;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Hermione Granger;Tonight? But we have to plan. We have to figure out what --
6929;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Harry Potter;Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose.
6930;Harry Potter and the Deathly Hallows Part 2;Exit the Dragon;Ron Weasley;'Fraid he's right. One problem: Snape's Headmaster now. We can't just walk in the front door.
6931;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Harry Potter;We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.
6932;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Harry Potter;There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected.
6933;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Ron Weasley;Maybe it's because of the Horcruxes. Maybe he's growing weaker. Maybe he's dying.
6934;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Harry Potter;No. It's more like he's wounded. If anything, he feels more
6935;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Hermione Granger;They were ready for us.
6936;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Death Eater;We know you're here, Potter. There's no getting away.
6937;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Death Eater;Perhaps you need some convincing.
6938;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Ron Weasley;What's he mean by that?
6939;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Hermione Granger;No, you'll give us away.
6940;Harry Potter and the Deathly Hallows Part 2;Final Hiding Place;Harry Potter;Expecto Patronum!
6941;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;In here, Potter.
6942;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Ron Weasley;Did you get a look at him! Fora second I thought it was --
6943;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Hermione Granger;I know.
6944;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Hermione Granger;Harry! I can see you! In here!
6945;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --
6946;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;You're Aberforth.
6947;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;Dumbledore's brother. It's you I've been seeing -- here. It's
6948;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Where've you left him?
6949;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;He's dead.
6950;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Sorry to hear it. I liked that elf.
6951;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Mundungus Fletcher, 'bout a year ago.
6952;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;Dung had no right selling you that. It belonged to --
6953;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Sirius. Albus told me. He also told me that you'd likely be hacked off if you ever found out I had it. But ask yourself where you'd be if I didn't.
6954;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Right then. Reckon you're hungry. Let's get you fed, then think of the best way to get you out of here.
6955;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Hermione Granger;Do you hear much from the others? From the Order?
6956;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;The Order is finished. You-Know- Who's won. Anyone who says otherwise is kidding themselves.
6957;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;We need to get into Hogwarts. Dumbledore gave us a job to do.
6958;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Did he now? Nice job? Easy?
6959;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;We've been hunting Horcruxes. We think the last one's in the school. But we'll need your help getting in.
6960;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;If we can find it and kill it, then we kill him, and then we can end this war once and for all. We need to get into Hogwarts tonight.
6961;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;It's not a job my brother's given you, it's a suicide mission. Do yourself a favor boy. Go home. Live a little longer.
6962;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;Dumbledore trusted me, to see this through.
6963;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;Why should he...
6964;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Keep secrets? You tell me.
6965;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;I only care about the Dumbledore I knew. I trusted him.
6966;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;Did you now? And why is that?
6967;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;I had no reason not to —-
6968;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;That's a boy's answer. A boy who goes chasing Horcruxes on the word of a man who won't even tell him where to start. You're lying. Not just to me, which doesn't matter, but to yourself as well. That's what a fool does.
6969;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;You're drunk.
6970;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;You don't strike me as a fool, Mr. Potter. So I'll ask you again. There must be a reason. Why do you trust anything my brother ever said to you? Why?
6971;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;You know what to do...
6972;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Harry Potter;Where've you sent her?
6973;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Aberforth Dumbledore;You'll see soon enough.
6974;Harry Potter and the Deathly Hallows Part 2;Aberforth Dumbledore;Hermione Granger;That's Ariana, isn't it? Your sister. She's beautiful.
