moviechrono_id;"movie,""chapter"",""character"",""dialog""";;;
90;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Remus Lupin"",""Stay here, Harry.""";;;
91;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Kingsley Shacklebolt"",""Clear!""";;;
92;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Alastor Moody"",""Right, Harry, this way.""";;;
93;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Alastor Moody"",""Here, read this.""";;;
94;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Alastor Moody"",""Come on, inside. Hurry.""";;;
95;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Remus Lupin"",""Get in, quick, Harry. Don't touch anything.""";;;
96;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Walburga Black"",""Filth! Scum! Half-breeds, mutants, freaks, begone from this place! How dare you befoul the house of my fathers?!""";;;
97;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Sirius Black"",""Shut up, you miserable old hag! Quiet!""";;;
98;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Walburga Black"",""Blood traitor, abomination, shame of my flesh!""";;;
99;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Harry Potter"",""Was that your--?""";;;
100;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Sirius Black"",""Mother, yes. Dear old mum.""";;;
101;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Harry Potter"",""But...why here?""";;;
102;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Molly Weasley"",""Hello, Harry dear.""";;;
103;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Harry Potter"",""Mrs. Weasley!""";;;
104;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Molly Weasley"",""Sirius, the meeting is about to start!""";;;
105;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Sirius Black"",""Right.""";;;
106;"Harry Potter and the Order of the Phoenix,""Number Twelve, Grimmauld Place"",""Molly Weasley"",""Harry, dear, go on upstairs-— quietly, if you please. They're all up there.""";;;
107;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Harry!""";;;
108;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""Let him breathe, Hermione!""";;;
109;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Oh, Harry! We've missed you! Are you furious with us, I bet you are!""";;;
110;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""Good to see you, mate.""";;;
111;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Come on, inside.""";;;
112;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Sorry we haven't written, Harry, but Dumbledore made us promise not to.""";;;
113;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""We wanted to, mate, we really did, but he thought they would get intercepted. There is an awkward silence.""";;;
114;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Right.""";;;
115;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""He thought you would be safest there.""";;;
116;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""He was so angry when he heard. It was...scary...""";;;
117;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""So, why's he keeping me in the dark?""";;;
118;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Didn't you bother asking?""";;;
119;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""We've only seen him twice, and not for very long. He's really busy.""";;;
120;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""So I get to spend the summer with the Dursleys while you two are here.""";;;
121;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""It's not that fun, mate. Mum won't let us anywhere near the meetings.""";;;
122;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""You've still been here!""";;;
123;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""What's been going on?""";;;
124;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Ron Weasley"",""We've already told you, we're not privyed to the meetings. But we do know a few things.""";;;
125;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""Some of the Order are following known Death Eaters, like Lucious Malfoy.""";;;
126;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""What's this Order everyone's talking about?""";;;
127;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Hermione Granger"",""The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term.""";;;
128;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""You can come down now, the meeting's over.""";;;
129;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Molly Weasley"",""Arthur-""";;;
130;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""Well, the Ministry is furious with you.""";;;
131;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Harry Potter"",""Why?""";;;
132;"Harry Potter and the Order of the Phoenix,""The Order of the Phoenix"",""Sirius Black"",""You'll have to go to an disciplinary meeting tomorrow.""";;;
