moviechrono_id;"movie,""chapter"",""character"",""dialog"""
101;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Was that an owl I heard?"""
102;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Harry's.  Haven't seen him, have you?  Apparently, he's wandering about the house."""
103;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Really?"""
104;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Really."""
105;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Harry!"""
106;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Harry!"""
107;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""But why didn't you tell us you were coming?"""
108;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Didn't know. Dumbledore."""
109;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""That man.  But then, what would we do without him?  Ron!"""
110;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""You've a bit of..."""
111;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""When'd you get here?"""
112;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""A few days ago.  Though... for a bit, I wasn't sure I was coming."""
113;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous."""
114;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Oh come on..."""
115;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening."""
116;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Anyway, Dad stepped in, told her she was being barmy.  Took a day or two, but she came round."""
117;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""But we're talking about Hogwarts. Dumbledore. What could be safer?"""
118;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""There's been a lot of chatter lately.  That he's gotten... old."""
119;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Rubbish.  He's only -- what?"""
120;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""A hundred and fifty.  Give or take a few years."""
121;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Step up!  Step up!"""
122;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Step up!  Step up!"""
123;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""We've got Fainting Fancy..."""
124;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Nosebleed Nougats..."""
125;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""And just in time for school..."""
126;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Puking Pastilles!"""
127;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Into the cauldron, handsome."""
128;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Into the cauldron, handsome."""
129;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""What'd you think, Harry?"""
130;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Amazing."""
131;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Pocket that and you'll pay in more than Galleons, my friend."""
132;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""We've got eyes in the back of our heads."""
133;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Bloody urchins."""
134;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Peruvian Instant Darkness Powder?"""
135;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""A real money spinner that."""
136;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Handy if you need to make a quick escape.  Hello, ladies!"""
137;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""George Weasley"",""Yes, they do really work."""
138;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Then again, the way we hear it, sis, you're doing just fine on your own."""
139;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Meaning?"""
140;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Fred Weasley"",""Are you not currently dating Dean Thomas?"""
141;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""None of your business."""
